author,antibiotic_category,year,num_resistant,num_total,troy_pooled_prev,logit_event_rate,std_err,variance,inverse_N,major_source,tri_source,natl_income,tri_income,country,antibioic_abb,antibiotic,sub_clinical,sub_WW2,sub_WW3,sub_seafood,sub_aquaculture,sub_DW,sub_SW,sub_agr,agr_farm,A_Wa2000,A_Wa2015,A_Wa_ratio,DID2000,EPI,HLT,AIR,H2O,HMT,WMG,BDH,ECS,FSH,CCH,APE,WRS,WWT
Mohan et al. 2017,SXT,,20,50,0.4,-0.405465108,0.288675135,8.33E-02,0.02,Clinical,Clinical,2,0-50,India,SXT,Sulfamethoxazole-Trimethoprim (SXT),Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Mohan et al. 2017,tetracycline,,8,50,0.16,-1.658228077,0.385758375,0.148809524,0.02,Clinical,Clinical,2,0-50,India,TET,Tetracycline,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Taneja et al. 2004,3rd gen,,3,13,0.2308,-1.203972804,0.658280589,0.433333333,0.076923077,Clinical,Clinical,2,0-50,India,3rd CEF,Cefotaxime,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Taneja et al. 2004,Chloramphenicol,2004,3,13,0.2308,-1.203972804,0.658280589,0.433333333,0.076923077,Clinical,Clinical,2,0-50,India,CHL,Chloramphenicol,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Taneja et al. 2004,Ciprofloxacin,2004,5,14,0.3571,-0.587786665,0.557773351,0.311111111,0.071428571,Clinical,Clinical,2,0-50,India,CIP,Ciprofloxacin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Taneja et al. 2004,Gentamicin,,4,13,0.3077,-0.810930216,0.600925213,0.361111111,0.076923077,Clinical,Clinical,2,0-50,India,GEN,Gentamicin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Taneja et al. 2004,SXT,,4,11,0.3636,-0.559615788,0.626783171,0.392857143,0.090909091,Clinical,Clinical,2,0-50,India,SXT,Sulfamethoxazole-Trimethoprim (SXT),Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Mukhopadhyay et al. 2008,3rd gen,,0,8,0.0556,-2.833213344,1.45521375,2.117647059,0.125,Clinical,Clinical,2,0-50,India,3rd CEF,Cefotaxime,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Mukhopadhyay et al. 2008,Ciprofloxacin,2008,1,8,0.125,-1.945910149,1.069044968,1.142857143,0.125,Clinical,Clinical,2,0-50,India,CIP,Ciprofloxacin,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Mukhopadhyay et al. 2008,Gentamicin,,0,8,0.0556,-2.833213344,1.45521375,2.117647059,0.125,Clinical,Clinical,2,0-50,India,GEN,Gentamicin,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Mukhopadhyay et al. 2008,SXT,,2,8,0.25,-1.098612289,0.816496581,0.666666667,0.125,Clinical,Clinical,2,0-50,India,SXT,Sulfamethoxazole-Trimethoprim (SXT),Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Mukhopadhyay et al. 2008,tetracycline,,3,8,0.375,-0.510825624,0.730296743,0.533333333,0.125,Clinical,Clinical,2,0-50,India,TET,Tetracycline,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Uppal et al. 2015,3rd gen,,0,3,0.125,-1.945910149,1.511857892,2.285714286,0.333333333,Clinical,Clinical,2,0-50,India,3rd CEF,Cefotaxime,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Uppal et al. 2015,Ciprofloxacin,2015,0,3,0.125,-1.945910149,1.511857892,2.285714286,0.333333333,Clinical,Clinical,2,0-50,India,CIP,Ciprofloxacin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Uppal et al. 2015,Gentamicin,,0,3,0.125,-1.945910149,1.511857892,2.285714286,0.333333333,Clinical,Clinical,2,0-50,India,GEN,Gentamicin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Preena et al. ,3rd gen,2020,0,7,0.0625,-2.708050201,1.460593487,2.133333333,0.142857143,Seafood,Agriculture,2,0-50,India,3rd CEF,Cefotaxime,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Preena et al. ,carbapenem,2020,5,7,0.7143,0.916290732,0.836660027,0.7,0.142857143,Seafood,Agriculture,2,0-50,India,CARB,Imipenem,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Preena et al. ,Chloramphenicol,2020,1,7,0.1429,-1.791759469,1.08012345,1.166666667,0.142857143,Seafood,Agriculture,2,0-50,India,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Preena et al. ,Ciprofloxacin,2020,1,7,0.1429,-1.791759469,1.08012345,1.166666667,0.142857143,Seafood,Agriculture,2,0-50,India,CIP,Ciprofloxacin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Preena et al. ,Erythromycin,2020,1,7,0.1429,-1.791759469,1.08012345,1.166666667,0.142857143,Seafood,Agriculture,2,0-50,India,ERY,Erythromycin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Preena et al. ,Gentamicin,2020,0,7,0.0625,-2.708050201,1.460593487,2.133333333,0.142857143,Seafood,Agriculture,2,0-50,India,GEN,Gentamicin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Preena et al. ,SXT,2020,3,7,0.4286,-0.287682072,0.763762616,0.583333333,0.142857143,Seafood,Agriculture,2,0-50,India,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Shameena et al.,3rd gen,2020,0,11,0.0417,-3.135494216,1.444630237,2.086956522,0.090909091,Seafood,Agriculture,2,0-50,India,3rd CEF,Cefotaxime,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Shameena et al.,carbapenem,2020,11,11,0.9583,3.135494216,1.444630237,2.086956522,0.090909091,Seafood,Agriculture,2,0-50,India,CARB,Imipenem,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Shameena et al.,Chloramphenicol,2020,0,11,0.0417,-3.135494216,1.444630237,2.086956522,0.090909091,Seafood,Agriculture,2,0-50,India,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Shameena et al.,Ciprofloxacin,2020,0,11,0.0417,-3.135494216,1.444630237,2.086956522,0.090909091,Seafood,Agriculture,2,0-50,India,CIP,Ciprofloxacin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Shameena et al.,Erythromycin,2020,0,11,0.0417,-3.135494216,1.444630237,2.086956522,0.090909091,Seafood,Agriculture,2,0-50,India,ERY,Erythromycin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Shameena et al.,Gentamicin,2020,0,11,0.0417,-3.135494216,1.444630237,2.086956522,0.090909091,Seafood,Agriculture,2,0-50,India,GEN,Gentamicin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Shameena et al.,SXT,2020,0,11,0.0417,-3.135494216,1.444630237,2.086956522,0.090909091,Seafood,Agriculture,2,0-50,India,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Shameena et al.,tetracycline,2020,11,11,0.9583,3.135494216,1.444630237,2.086956522,0.090909091,Seafood,Agriculture,2,0-50,India,TET,Tetracycline,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Banerjee et al.,3rd gen,2017,12.22,26,0.47,-0.120144312,0.3929402,0.154402001,0.038461538,Clinical,Clinical,2,0-50,India,3rd CEF,Ceftriaxone,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Banerjee et al. 2017,carbapenem,,1.82,26,0.07,-2.586689344,0.768639735,0.590807042,0.038461538,Clinical,Clinical,2,0-50,India,CARB,Meropenem,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Banerjee et al. 2017,Ciprofloxacin,2017,4.42,26,0.17,-1.585627264,0.522095343,0.272583547,0.038461538,Clinical,Clinical,2,0-50,India,CIP,Ciprofloxacin,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Banerjee et al. 2017,Gentamicin,,3.38,26,0.13,-1.900958761,0.583152341,0.340066653,0.038461538,Clinical,Clinical,2,0-50,India,GEN,Gentamicin,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Banerjee et al. 2017,SXT,,5.72,26,0.22,-1.265666373,0.473428811,0.22413484,0.038461538,Clinical,Clinical,2,0-50,India,SXT,Sulfamethoxazole-Trimethoprim (SXT),Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Amsaveni et al. 2015,Chloramphenicol,2015,11,11,0.9583,3.135494216,1.444630237,2.086956522,0.090909091,Clinical,Clinical,2,0-50,India,CHL,Chloramphenicol,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Amsaveni et al. 2015,Gentamicin,2015,59,59,0.9917,4.779123493,1.420143205,2.016806723,0.016949153,Seafood,Agriculture,2,0-50,India,GEN,Gentamicin,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Subashkumar et al. 2006,Chloramphenicol,2006,2,21,0.0952,-2.251291799,0.743391942,0.552631579,0.047619048,Clinical,Clinical,2,0-50,India,CHL,Chloramphenicol,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Subashkumar et al. 2006,Erythromycin,,15,21,0.7143,0.916290732,0.483045892,0.233333333,0.047619048,Clinical,Clinical,2,0-50,India,ERY,Erythromycin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Subashkumar et al. 2006,Gentamicin,,5,21,0.2381,-1.16315081,0.512347538,0.2625,0.047619048,Clinical,Clinical,2,0-50,India,GEN,Gentamicin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Subashkumar et al. 2006,tetracycline,,15,21,0.7143,0.916290732,0.483045892,0.233333333,0.047619048,Clinical,Clinical,2,0-50,India,TET,Tetracycline,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Amsaveni et al.,Chloramphenicol,2015,59,59,0.9917,4.779123493,1.420143205,2.016806723,0.016949153,Seafood,Agriculture,2,0-50,India,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Amsaveni et al.,Gentamicin,2015,11,11,0.9583,3.135494216,1.444630237,2.086956522,0.090909091,Clinical,Clinical,2,0-50,India,GEN,Gentamicin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Das et al.,Chloramphenicol,2009,3,15,0.2,-1.386294361,0.645497224,0.416666667,0.066666667,Seafood,Agriculture,2,0-50,India,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Das et al.,Erythromycin,2009,14,15,0.9333,2.63905733,1.035098339,1.071428571,0.066666667,Seafood,Agriculture,2,0-50,India,ERY,Erythromycin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Das et al.,Gentamicin,2009,3,15,0.2,-1.386294361,0.645497224,0.416666667,0.066666667,Seafood,Agriculture,2,0-50,India,GEN,Gentamicin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Das et al.,tetracycline,2009,1,15,0.0667,-2.63905733,1.035098339,1.071428571,0.066666667,Seafood,Agriculture,2,0-50,India,TET,Tetracycline,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Nifty et al.,Chloramphenicol,2012,0,45,0.0109,-4.510859507,1.421962736,2.021978022,0.022222222,Seafood,Agriculture,2,0-50,India,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Nifty et al.,Ciprofloxacin,2012,0,45,0.0109,-4.510859507,1.421962736,2.021978022,0.022222222,Seafood,Agriculture,2,0-50,India,CIP,Ciprofloxacin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Nifty et al.,Gentamicin,2012,0,45,0.0109,-4.510859507,1.421962736,2.021978022,0.022222222,Seafood,Agriculture,2,0-50,India,GEN,Gentamicin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Nifty et al.,tetracycline,2012,7,45,0.1556,-1.691676011,0.411306373,0.169172932,0.022222222,Seafood,Agriculture,2,0-50,India,TET,Tetracycline,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Simon et al.,Chloramphenicol,2016,0,61,0.0081,-4.812184355,1.419950761,2.016260163,0.016393443,Seafood,Agriculture,2,0-50,India,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Simon et al.,Erythromycin,2016,27,61,0.4426,-0.230523659,0.257776651,6.64E-02,0.016393443,Seafood,Agriculture,2,0-50,India,ERY,Erythromycin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Thayumanavan et al.,Chloramphenicol,2003,0,42,0.0116,-4.442651256,1.422508141,2.023529412,0.023809524,Seafood,Agriculture,2,0-50,India,CHL,Chloramphenicol,Blank,Blank,Blank,Shellfish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Thayumanavan et al.,Erythromycin,2003,36,42,0.8571,1.791759469,0.440958552,0.194444444,0.023809524,Seafood,Agriculture,2,0-50,India,ERY,Erythromycin,Blank,Blank,Blank,Shellfish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Thayumanavan et al.,Gentamicin,2003,1,42,0.0238,-3.713572067,1.012121655,1.024390244,0.023809524,Seafood,Agriculture,2,0-50,India,GEN,Gentamicin,Blank,Blank,Blank,Shellfish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Thayumanavan et al.,tetracycline,2003,18,42,0.4286,-0.287682072,0.311804782,9.72E-02,0.023809524,Seafood,Agriculture,2,0-50,India,TET,Tetracycline,Blank,Blank,Blank,Shellfish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
"Thayumanavan et al., 2003",Chloramphenicol,2003,0,213,0.0023,-6.056784013,1.415868582,2.004683841,0.004694836,Seafood,Agriculture,2,0-50,India,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Vivekanandhan et al.,Chloramphenicol,2001,0,51,0.0096,-4.634728988,1.421062094,2.019417476,0.019607843,Seafood,Agriculture,2,0-50,India,CHL,Chloramphenicol,Blank,Blank,Blank,Prawn,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Vivekanandhan et al.,Erythromycin,2001,260,268,0.9701,3.481240089,0.358951464,0.128846154,0.003731343,Seafood,Agriculture,2,0-50,India,ERY,Erythromycin,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Vivekanandhan et al.,Gentamicin,2001,2,51,0.0392,-3.198673118,0.72139321,0.520408163,0.019607843,Seafood,Agriculture,2,0-50,India,GEN,Gentamicin,Blank,Blank,Blank,Shellfish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Vivekanandhan et al.,tetracycline,2001,21,51,0.4118,-0.356674944,0.284521319,0.080952381,0.019607843,Seafood,Agriculture,2,0-50,India,TET,Tetracycline,Blank,Blank,Blank,Shellfish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
"Vivekanandhan et al., 2001",Chloramphenicol,2001,12,268,0.0448,-3.060270795,0.295363477,8.72E-02,0.003731343,Seafood,Agriculture,2,0-50,India,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Sinha et al 2004,Ciprofloxacin,2004,127,158,0.8038,1.410199882,0.200329929,4.01E-02,0.006329114,Clinical,Clinical,2,0-50,India,CIP,Ciprofloxacin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Sinha et al. 2004,Ciprofloxacin,2004,31,164,0.189,-1.456361924,0.199441374,3.98E-02,0.006097561,Clinical,Clinical,2,0-50,India,CIP,Ciprofloxacin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Thayumanavan et 2003 al.,Erythromycin,2003,192,213,0.9014,2.212972934,0.229842078,0.052827381,0.004694836,Seafood,Agriculture,2,0-50,India,ERY,Erythromycin,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Vivekanandhan et. al.,Erythromycin,2001,50,51,0.9804,3.912023005,1.009950494,1.02,0.019607843,Seafood,Agriculture,2,0-50,India,ERY,Erythromycin,Blank,Blank,Blank,Shellfish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Thayumanavan et al. 2003,Gentamicin,2003,9,213,0.0423,-3.120895417,0.340606917,0.116013072,0.004694836,Seafood,Agriculture,2,0-50,India,GEN,Gentamicin,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Thayumanavan et al. 2003,tetracycline,2003,95,213,0.446,-0.216807733,0.137843723,1.90E-02,0.004694836,Seafood,Agriculture,2,0-50,India,TET,Tetracycline,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Vivekanandhan et al. 2001,Gentamicin,2001,22,268,0.0821,-2.414289083,0.222529967,0.049519586,0.003731343,Seafood,Agriculture,2,0-50,India,GEN,Gentamicin,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Vivekanandhan et al. 2001,tetracycline,2001,143,268,0.5336,0.134530893,0.122445935,0.014993007,0.003731343,Seafood,Agriculture,2,0-50,India,TET,Tetracycline,Blank,Blank,Blank,Fish,Unknown,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Samal et al. 2008,SXT,,13,30,0.4333,-0.268263987,0.368438063,0.135746606,0.033333333,Clinical,Clinical,2,0-50,India,SXT,Sulfamethoxazole-Trimethoprim (SXT),Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Samal et al. 2008,tetracycline,,14,30,0.4667,-0.133531393,0.365962527,0.133928571,0.033333333,Clinical,Clinical,2,0-50,India,TET,Tetracycline,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
