Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_checklist,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),Experiment,experimental_factor,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),host-associated_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_Name,Sequencing_method,SRA_accession,SRA Study,Title,host_body_product,host_body_site,host_common_name
ERR2129800,FRM-S1,AMPLICON,450,34646748,PRJEB22688,SAMEA104307790,18080448,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2186991,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,FRM-S1,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307790,ERS1932768,Illumina,ERS1932768,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129801,FRM-S2,AMPLICON,482,52677677,PRJEB22688,SAMEA104307791,30049932,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2186992,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,FRM-S2,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307791,ERS1932769,Illumina,ERS1932769,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129803,FRM-S3,AMPLICON,482,26802293,PRJEB22688,SAMEA104307792,14797475,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2186993,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,FRM-S3,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307792,ERS1932770,Illumina,ERS1932770,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129804,FRM-S4,AMPLICON,444,29489703,PRJEB22688,SAMEA104307793,14725111,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2186994,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,FRM-S4,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307793,ERS1932771,Illumina,ERS1932771,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129806,FRM-S5,AMPLICON,449,34647833,PRJEB22688,SAMEA104307794,17929324,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2186995,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,FRM-S5,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307794,ERS1932772,Illumina,ERS1932772,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129807,FRM-S6,AMPLICON,535,184538050,PRJEB22688,SAMEA104307795,88483336,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2186996,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,FRM-S6,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307795,ERS1932773,Illumina,ERS1932773,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129809,FRM-S7,AMPLICON,439,210501021,PRJEB22688,SAMEA104307796,114406644,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2186997,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,FRM-S7,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307796,ERS1932774,Illumina,ERS1932774,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129810,FRM-S8,AMPLICON,438,63879990,PRJEB22688,SAMEA104307797,33415813,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2186998,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,FRM-S8,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307797,ERS1932775,Illumina,ERS1932775,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129812,FRM-S9,AMPLICON,462,79878831,PRJEB22688,SAMEA104307798,43867604,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2186999,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,FRM-S9,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307798,ERS1932776,Illumina,ERS1932776,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129813,MHV-G10,AMPLICON,465,44661429,PRJEB22688,SAMEA104307799,25878626,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2187000,MHS population (hatchery),United Kingdom,Europe,United Kingdom,56.87,-5.68,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,MHV-G10,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307799,ERS1932777,Illumina,ERS1932777,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129830,MHV-G9,AMPLICON,439,15686013,PRJEB22688,SAMEA104307810,6866717,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2187011,MHS population (hatchery),United Kingdom,Europe,United Kingdom,56.87,-5.68,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,MHV-G9,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307810,ERS1932788,Illumina,ERS1932788,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129831,MHV-S10,AMPLICON,445,142015553,PRJEB22688,SAMEA104307811,72293826,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2187012,MHS population (hatchery),United Kingdom,Europe,United Kingdom,56.87,-5.68,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,MHV-S10,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307811,ERS1932789,Illumina,ERS1932789,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129833,MHV-S11,AMPLICON,567,950263368,PRJEB22688,SAMEA104307812,471482161,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2187013,MHS population (hatchery),United Kingdom,Europe,United Kingdom,56.87,-5.68,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,MHV-S11,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307812,ERS1932790,Illumina,ERS1932790,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129834,MHV-S12,AMPLICON,449,62926481,PRJEB22688,SAMEA104307813,32706617,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2187014,MHS population (hatchery),United Kingdom,Europe,United Kingdom,56.87,-5.68,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,MHV-S12,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307813,ERS1932791,Illumina,ERS1932791,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129836,MHV-S1,AMPLICON,435,95834214,PRJEB22688,SAMEA104307814,48906477,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2187015,MHS population (hatchery),United Kingdom,Europe,United Kingdom,56.87,-5.68,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,MHV-S1,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307814,ERS1932792,Illumina,ERS1932792,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129837,MHV-S2,AMPLICON,437,103681897,PRJEB22688,SAMEA104307815,53014000,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2187016,MHS population (hatchery),United Kingdom,Europe,United Kingdom,56.87,-5.68,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,MHV-S2,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307815,ERS1932793,Illumina,ERS1932793,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129839,MHV-S3,AMPLICON,432,65653232,PRJEB22688,SAMEA104307816,33333608,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2187017,MHS population (hatchery),United Kingdom,Europe,United Kingdom,56.87,-5.68,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,MHV-S3,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307816,ERS1932794,Illumina,ERS1932794,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129840,MHV-S4,AMPLICON,451,54547738,PRJEB22688,SAMEA104307817,28717414,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2187018,MHS population (hatchery),United Kingdom,Europe,United Kingdom,56.87,-5.68,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,MHV-S4,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307817,ERS1932795,Illumina,ERS1932795,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129842,MHV-S5,AMPLICON,439,88492151,PRJEB22688,SAMEA104307818,44267813,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2187019,MHS population (hatchery),United Kingdom,Europe,United Kingdom,56.87,-5.68,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,MHV-S5,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307818,ERS1932796,Illumina,ERS1932796,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129843,MHV-S6,AMPLICON,438,158002275,PRJEB22688,SAMEA104307819,82538976,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2187020,MHS population (hatchery),United Kingdom,Europe,United Kingdom,56.87,-5.68,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,MHV-S6,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307819,ERS1932797,Illumina,ERS1932797,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129846,MHV-S8,AMPLICON,449,92822279,PRJEB22688,SAMEA104307821,47039861,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2187022,MHS population (hatchery),United Kingdom,Europe,United Kingdom,56.87,-5.68,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,MHV-S8,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307821,ERS1932799,Illumina,ERS1932799,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129858,SAW-G4,AMPLICON,492,110786918,PRJEB22688,SAMEA104307829,58634318,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish intestine,ERX2187030,Towy population (wild),United Kingdom,Europe,United Kingdom,51.86,-4.19,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:06Z,public,Illumina MiSeq,metagenome,SAW-G4,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307829,ERS1932807,Illumina,ERS1932807,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129864,SAW-G8,AMPLICON,456,61656579,PRJEB22688,SAMEA104307833,29753317,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish intestine,ERX2187034,Towy population (wild),United Kingdom,Europe,United Kingdom,51.86,-4.19,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:07Z,public,Illumina MiSeq,metagenome,SAW-G8,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307833,ERS1932811,Illumina,ERS1932811,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129866,SAW-G9,AMPLICON,477,31441149,PRJEB22688,SAMEA104307834,16528140,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish intestine,ERX2187035,Towy population (wild),United Kingdom,Europe,United Kingdom,51.86,-4.19,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:07Z,public,Illumina MiSeq,metagenome,SAW-G9,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307834,ERS1932812,Illumina,ERS1932812,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129867,SAW-S10,AMPLICON,471,45271592,PRJEB22688,SAMEA104307835,22549274,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2187036,Towy population (wild),United Kingdom,Europe,United Kingdom,51.86,-4.19,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:07Z,public,Illumina MiSeq,metagenome,SAW-S10,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307835,ERS1932813,Illumina,ERS1932813,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129869,SAW-S11,AMPLICON,431,13708754,PRJEB22688,SAMEA104307836,7204376,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2187037,Towy population (wild),United Kingdom,Europe,United Kingdom,51.86,-4.19,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:07Z,public,Illumina MiSeq,metagenome,SAW-S11,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307836,ERS1932814,Illumina,ERS1932814,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129870,SAW-S12,AMPLICON,478,8333538,PRJEB22688,SAMEA104307837,4806233,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2187038,Towy population (wild),United Kingdom,Europe,United Kingdom,51.86,-4.19,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:07Z,public,Illumina MiSeq,metagenome,SAW-S12,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307837,ERS1932815,Illumina,ERS1932815,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129872,SAW-S1,AMPLICON,434,50845162,PRJEB22688,SAMEA104307838,28243584,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2187039,Towy population (wild),United Kingdom,Europe,United Kingdom,51.86,-4.19,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:07Z,public,Illumina MiSeq,metagenome,SAW-S1,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307838,ERS1932816,Illumina,ERS1932816,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129873,SAW-S2,AMPLICON,447,83695077,PRJEB22688,SAMEA104307839,43672865,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2187040,Towy population (wild),United Kingdom,Europe,United Kingdom,51.86,-4.19,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:54Z,2017-09-19T13:58:07Z,public,Illumina MiSeq,metagenome,SAW-S2,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307839,ERS1932817,Illumina,ERS1932817,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129875,SAW-S3,AMPLICON,465,60608268,PRJEB22688,SAMEA104307840,32959230,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2187041,Towy population (wild),United Kingdom,Europe,United Kingdom,51.86,-4.19,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:07Z,public,Illumina MiSeq,metagenome,SAW-S3,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307840,ERS1932818,Illumina,ERS1932818,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129876,SAW-S4,AMPLICON,432,61985222,PRJEB22688,SAMEA104307841,33471146,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish skin,ERX2187042,Towy population (wild),United Kingdom,Europe,United Kingdom,51.86,-4.19,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:07Z,public,Illumina MiSeq,metagenome,SAW-S4,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307841,ERS1932819,Illumina,ERS1932819,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129891,SPY-G2,AMPLICON,441,40997095,PRJEB22688,SAMEA104307851,19885547,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish intestine,ERX2187052,Spey population (wild),United Kingdom,Europe,United Kingdom,57.49,-3.19,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:07Z,public,Illumina MiSeq,metagenome,SPY-G2,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307851,ERS1932829,Illumina,ERS1932829,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129894,SPY-G4,AMPLICON,424,82480295,PRJEB22688,SAMEA104307853,40062167,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish intestine,ERX2187054,Spey population (wild),United Kingdom,Europe,United Kingdom,57.49,-3.19,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:07Z,public,Illumina MiSeq,metagenome,SPY-G4,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307853,ERS1932831,Illumina,ERS1932831,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
